
***begin of header***
date&time [local time];type;PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];CalPM10;CalPM4;CalPM2.5;CalPM1;T-fact;T-out [°C];T-aerosol[°C];rH [%];status;date&time [UTC];longitude;lattitude;height [m];serial-no;time-resolution;software-version;cell-no;last calibration [local time]
***end of header***

2020-08-17 00:05:00;measure;13,6;12,7;11,7;10,4;1,1;1,2;1,2;1,2;1,0;24,5;33,6;30,1;800,0;2020-08-16 22:01:51;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:10:00;measure;5,7;4,7;3,8;3,8;1,1;1,2;1,2;1,2;1,0;24,6;33,2;29,2;800,0;2020-08-16 22:09:52;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:15:00;measure;5,4;3,7;3,2;3,2;1,1;1,2;1,2;1,2;1,0;24,9;33,0;29,2;800,0;2020-08-16 22:13:52;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:20:00;measure;3,8;2,4;2,4;2,3;1,1;1,2;1,2;1,2;1,0;25,2;33,0;29,3;800,0;2020-08-16 22:17:52;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:25:00;measure;3,3;2,3;1,7;1,7;1,1;1,2;1,2;1,2;1,0;24,9;33,0;29,5;800,0;2020-08-16 22:21:52;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:30:00;measure;3,1;2,5;2,2;2,2;1,1;1,2;1,2;1,2;1,0;24,8;33,0;29,3;800,0;2020-08-16 22:29:52;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:35:00;measure;4,3;2,5;1,9;1,9;1,1;1,2;1,2;1,2;1,0;25,3;32,9;29,2;800,0;2020-08-16 22:33:53;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:40:00;measure;3,5;2,9;2,2;2,2;1,1;1,2;1,2;1,2;1,0;24,9;33,0;28,5;800,0;2020-08-16 22:37:53;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:45:00;measure;2,4;1,2;0,6;0,6;1,1;1,2;1,2;1,2;1,0;24,6;32,9;28,2;800,0;2020-08-16 22:41:53;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:50:00;measure;1,6;1,4;0,7;0,7;1,1;1,2;1,2;1,2;1,0;24,9;32,9;28,4;800,0;2020-08-16 22:49:53;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:55:00;measure;2,0;2,0;1,2;1,2;1,1;1,2;1,2;1,2;1,0;24,6;32,9;28,3;800,0;2020-08-16 22:53:53;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:00:00;measure;1,2;0,6;0,6;0,6;1,1;1,2;1,2;1,2;1,0;25,0;32,8;28,4;800,0;2020-08-16 22:57:53;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:05:00;measure;1,8;1,5;0,6;0,6;1,1;1,2;1,2;1,2;1,0;24,8;32,8;28,6;800,0;2020-08-16 23:01:54;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:10:00;measure;3,0;2,5;1,8;1,8;1,1;1,2;1,2;1,2;1,0;24,6;32,8;28,9;800,0;2020-08-16 23:09:54;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:15:00;measure;2,5;2,1;1,8;1,8;1,1;1,2;1,2;1,2;1,0;24,4;32,8;29,2;800,0;2020-08-16 23:13:54;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:20:00;measure;1,3;1,3;1,3;1,3;1,1;1,2;1,2;1,2;1,0;24,1;32,7;29,2;800,0;2020-08-16 23:17:54;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:25:00;measure;2,2;1,8;1,8;1,8;1,1;1,2;1,2;1,2;1,0;23,9;32,6;29,4;800,0;2020-08-16 23:21:54;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:30:00;measure;1,2;1,0;0,9;0,9;1,1;1,2;1,2;1,2;1,0;23,8;32,5;29,6;800,0;2020-08-16 23:29:55;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:35:00;measure;1,5;0,9;0,7;0,7;1,1;1,2;1,2;1,2;1,0;23,6;32,4;29,8;800,0;2020-08-16 23:33:55;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:40:00;measure;2,3;1,1;0,8;0,8;1,1;1,2;1,2;1,2;1,0;23,5;32,2;30,2;800,0;2020-08-16 23:37:55;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:45:00;measure;0,7;0,4;0,4;0,4;1,1;1,2;1,2;1,2;1,0;23,6;32,2;30,3;800,0;2020-08-16 23:41:55;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:50:00;measure;1,4;1,0;1,0;0,9;1,1;1,2;1,2;1,2;1,0;23,5;32,0;30,5;800,0;2020-08-16 23:49:55;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:55:00;measure;1,3;0,6;0,2;0,2;1,1;1,2;1,2;1,2;1,0;23,2;31,9;30,8;800,0;2020-08-16 23:53:55;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:00:00;measure;1,4;1,0;0,4;0,2;1,1;1,2;1,2;1,2;1,0;23,1;31,8;31,1;800,0;2020-08-16 23:57:56;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:05:00;measure;0,5;0,5;0,5;0,5;1,1;1,2;1,2;1,2;1,0;23,3;31,7;31,4;800,0;2020-08-17 00:01:56;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:10:00;measure;0,6;0,0;0,0;0,0;1,1;1,2;1,2;1,2;1,0;22,9;31,6;31,7;800,0;2020-08-17 00:09:56;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:15:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,2;1,2;1,0;23,0;31,5;31,9;800,0;2020-08-17 00:13:56;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:20:00;measure;0,5;0,0;0,0;0,0;1,1;1,2;1,2;1,2;1,0;23,0;31,4;32,2;800,0;2020-08-17 00:17:56;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:25:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,2;1,2;1,0;23,0;31,3;32,4;800,0;2020-08-17 00:21:56;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:30:00;measure;0,8;0,1;0,0;0,0;1,1;1,2;1,2;1,2;1,0;22,7;31,2;32,7;800,0;2020-08-17 00:29:57;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:35:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,2;1,2;1,0;22,7;31,1;32,9;800,0;2020-08-17 00:33:57;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:40:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,2;1,2;1,0;22,8;31,0;33,1;800,0;2020-08-17 00:37:57;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:45:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,2;1,2;1,0;22,9;30,9;33,2;800,0;2020-08-17 00:41:57;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:50:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,2;1,2;1,0;23,0;30,8;33,3;800,0;2020-08-17 00:49:57;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:55:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,2;1,2;1,0;22,8;30,9;33,4;800,0;2020-08-17 00:53:58;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 03:00:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,2;1,2;1,0;22,5;30,8;33,1;800,0;2020-08-17 00:57:58;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 03:05:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,2;1,2;1,0;22,6;30,8;33,1;800,0;2020-08-17 01:01:58;E10,907475;N48,308163;H533,6;SN17023;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
