***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***
2020-08-16 00:00:06;SN19052;measure;10,63;10,41;10,09;51408,2;2963,5;464,3;97,4;99,4;66,9;34,4;7,6;5,7;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,8;32,0;40,0;2020-08-15 22:00:06;E10,945117;N48,346277;492,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:05:06;SN19052;measure;12,03;11,00;10,67;55312,0;3372,1;482,0;99,1;118,1;83,8;24,8;15,2;7,6;1,9;3,8;3,8;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,6;32,0;40,0;2020-08-15 22:05:06;E10,945115;N48,346275;492,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:10:06;SN19052;measure;11,98;11,42;11,10;57344,8;3488,5;548,7;101,0;137,2;80,0;22,9;7,6;11,4;1,9;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,7;31,9;40,4;2020-08-15 22:10:06;E10,945113;N48,346277;492,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:15:06;SN19052;measure;12,01;11,47;11,09;58857,5;3867,4;600,1;102,9;127,6;66,7;49,5;13,3;9,5;7,6;0,0;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,4;31,9;40,5;2020-08-15 22:15:06;E10,945113;N48,346277;492,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:20:06;SN19052;measure;12,20;11,38;11,07;58539,3;3692,2;567,7;114,3;125,7;66,7;21,0;19,1;9,5;5,7;1,9;0,0;1,9;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,4;31,8;40,7;2020-08-15 22:20:06;E10,945112;N48,346278;492,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:25:06;SN19052;measure;12,38;11,93;11,55;61052,2;4208,5;594,4;125,7;116,2;62,9;53,3;9,5;7,6;3,8;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;177890618;21,3;31,7;40,6;2020-08-15 22:25:06;E10,945112;N48,346278;491,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:30:06;SN19052;measure;12,46;12,04;11,71;61062,0;4248,8;607,8;121,9;106,7;68,6;32,4;9,5;11,4;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,6;31,7;40,9;2020-08-15 22:30:06;E10,945117;N48,346280;491,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:35:06;SN19052;measure;12,51;11,94;11,64;60621,6;4029,4;575,4;118,1;125,7;49,5;28,6;13,3;7,6;5,7;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,5;31,6;40,8;2020-08-15 22:35:06;E10,945118;N48,346278;491,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:40:06;SN19052;measure;11,90;11,65;11,35;60486,4;4099,9;615,4;118,1;102,9;70,5;30,5;7,6;3,8;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,2;31,6;40,9;2020-08-15 22:40:06;E10,945120;N48,346278;491,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:45:06;SN19052;measure;12,82;11,83;11,54;61269,7;4311,6;638,3;110,5;93,4;53,3;30,5;11,4;9,5;9,5;3,8;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,2;31,6;40,8;2020-08-15 22:45:06;E10,945122;N48,346278;491,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:50:06;SN19052;measure;12,41;11,78;11,42;60579,7;4145,6;586,8;125,7;99,1;66,7;45,7;5,7;13,3;3,8;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,3;31,5;41,2;2020-08-15 22:50:06;E10,945122;N48,346280;491,500;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:55:06;SN19052;measure;12,57;12,13;11,86;62463,9;4458,0;613,5;101,0;116,2;51,4;26,7;7,6;13,3;3,8;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,3;31,5;41,1;2020-08-15 22:55:06;E10,945123;N48,346280;491,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 01:00:06;SN19052;measure;12,39;11,80;11,46;62128,6;4524,7;617,3;139,1;104,8;74,3;36,2;15,2;3,8;3,8;1,9;1,9;0,0;1,9;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;177890618;21,1;31,4;41,4;2020-08-15 23:00:06;E10,945125;N48,346282;491,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 01:05:06;SN19052;measure;12,59;12,39;12,08;62999,3;4753,3;623,0;131,5;135,3;59,1;32,4;11,4;1,9;1,9;0,0;0,0;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,5;31,4;41,5;2020-08-15 23:05:06;E10,945125;N48,346283;491,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 01:10:06;SN19052;measure;12,81;12,24;11,91;62717,7;4532,6;619,2;135,3;125,7;55,3;30,5;17,1;11,4;0,0;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,4;31,3;41,7;2020-08-15 23:10:06;E10,945125;N48,346287;490,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 01:15:06;SN19052;measure;12,76;12,26;11,94;63892,8;4844,8;642,0;120,0;137,2;66,7;32,4;13,3;7,6;3,8;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177890618;21,1;31,3;41,6;2020-08-15 23:15:06;E10,945128;N48,346288;490,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
