***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2,5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***

2019-07-07 00:18:48;SN19011;measure;1,34;1,08;0,62;444;26;11;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:18:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:19:48;SN19011;measure;1,39;1,06;0,65;478;33;13;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:19:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:20:48;SN19011;measure;0,94;0,77;0,52;450;18;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:20:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:21:49;SN19011;measure;4,99;1,09;0,64;454;22;8;8;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:21:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:22:48;SN19011;measure;1,15;0,96;0,63;502;23;4;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:22:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:23:48;SN19011;measure;0,97;0,81;0,56;453;23;7;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:23:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:24:49;SN19011;measure;1,24;0,79;0,58;466;24;10;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:24:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:25:49;SN19011;measure;1,78;1,14;0,63;454;35;11;3;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:25:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:26:49;SN19011;measure;1,18;0,97;0,62;480;25;9;4;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:26:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:27:49;SN19011;measure;2,69;1,21;0,64;468;26;9;7;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:27:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:28:49;SN19011;measure;0,86;0,79;0,56;464;28;5;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:28:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:29:49;SN19011;measure;4,23;0,84;0,54;446;23;8;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:29:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:30:49;SN19011;measure;0,93;0,78;0,58;438;17;13;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:30:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:31:49;SN19011;measure;1,17;1,05;0,64;457;32;9;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,6;2019-07-06 22:31:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:32:49;SN19011;measure;0,73;0,72;0,58;486;17;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:32:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:33:49;SN19011;measure;0,59;0,59;0,56;466;25;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,6;2019-07-06 22:33:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:34:49;SN19011;measure;0,85;0,82;0,61;460;13;13;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:34:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:35:49;SN19011;measure;6,25;0,93;0,63;445;23;11;3;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,6;2019-07-06 22:35:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:36:49;SN19011;measure;1,34;1,01;0,64;499;26;11;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,6;2019-07-06 22:36:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:37:49;SN19011;measure;2,11;1,26;0,59;428;27;10;5;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,6;2019-07-06 22:37:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:38:49;SN19011;measure;0,84;0,82;0,61;427;30;11;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,6;2019-07-06 22:38:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:39:49;SN19011;measure;1,10;0,99;0,60;472;37;2;1;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,6;2019-07-06 22:39:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:40:49;SN19011;measure;0,89;0,82;0,56;431;22;6;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,6;2019-07-06 22:40:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:41:49;SN19011;measure;2,55;1,38;0,63;475;27;7;4;3;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,7;2019-07-06 22:41:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:42:49;SN19011;measure;1,05;0,86;0,58;453;24;9;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,6;2019-07-06 22:42:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:43:49;SN19011;measure;1,07;0,96;0,61;476;15;11;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,6;2019-07-06 22:43:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:44:49;SN19011;measure;0,92;0,87;0,63;476;28;9;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:44:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:45:49;SN19011;measure;0,85;0,83;0,60;460;27;6;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:45:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:46:49;SN19011;measure;1,06;0,88;0,60;446;32;11;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:46:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:47:49;SN19011;measure;3,48;0,95;0,53;433;21;5;2;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:47:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:48:49;SN19011;measure;1,61;0,98;0,57;483;28;2;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:48:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:49:49;SN19011;measure;0,82;0,78;0,56;447;20;7;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:49:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:50:49;SN19011;measure;1,98;0,80;0,53;455;15;4;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:50:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:51:49;SN19011;measure;2,19;0,96;0,57;473;14;7;2;3;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:51:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:52:49;SN19011;measure;1,59;1,20;0,61;484;22;9;0;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,8;2019-07-06 22:52:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:53:49;SN19011;measure;1,53;0,94;0,56;436;27;8;4;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:53:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:54:49;SN19011;measure;1,36;0,89;0,58;452;27;5;5;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:54:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:55:49;SN19011;measure;0,84;0,82;0,59;444;28;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:55:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:56:49;SN19011;measure;0,62;0,61;0,53;452;24;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,8;2019-07-06 22:56:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:57:49;SN19011;measure;0,72;0,68;0,50;429;24;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,8;2019-07-06 22:57:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
