
***begin of header***
date&time [local time];type;PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];CalPM10;CalPM4;CalPM2.5;CalPM1;T-fact;T-out [°C];T-aerosol[°C];rH [%];status;date&time [UTC];longitude;lattitude;height [m];serial-no;time-resolution;software-version;cell-no;last calibration [local time]
***end of header***

2020-08-16 00:05:00;measure;12,5;11,9;10,3;9,1;1,1;1,2;1,1;1,1;0,8;25,3;34,0;36,9;800,0;2020-08-15 22:04:14;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 00:10:00;measure;7,8;7,5;6,3;6,0;1,1;1,2;1,1;1,1;0,8;25,7;33,8;37,1;800,0;2020-08-15 22:09:14;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 00:15:00;measure;7,7;7,3;6,1;5,8;1,1;1,2;1,1;1,1;0,8;25,6;33,7;37,2;800,0;2020-08-15 22:14:14;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 00:20:00;measure;7,8;7,3;6,5;6,1;1,1;1,2;1,1;1,1;0,8;25,4;33,6;37,4;800,0;2020-08-15 22:19:14;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 00:25:00;measure;7,4;7,3;6,7;6,3;1,1;1,2;1,1;1,1;0,8;25,5;33,5;37,7;800,0;2020-08-15 22:24:15;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 00:30:00;measure;7,4;7,4;7,0;6,6;1,1;1,2;1,1;1,1;0,8;25,4;33,5;37,7;800,0;2020-08-15 22:29:15;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 00:35:00;measure;7,3;7,3;6,7;6,4;1,1;1,2;1,1;1,1;0,8;25,5;33,4;37,9;800,0;2020-08-15 22:34:15;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 00:40:00;measure;7,7;7,2;6,6;6,4;1,1;1,2;1,1;1,1;0,8;25,4;33,4;38,0;800,0;2020-08-15 22:39:15;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 00:45:00;measure;7,6;7,0;6,4;6,3;1,1;1,2;1,1;1,1;0,8;25,4;33,3;38,1;800,0;2020-08-15 22:44:15;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 00:50:00;measure;7,2;6,6;6,1;5,9;1,1;1,2;1,1;1,1;0,8;25,4;33,3;38,3;800,0;2020-08-15 22:49:16;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 00:55:00;measure;7,1;6,6;6,0;5,8;1,1;1,2;1,1;1,1;0,8;25,3;33,2;38,3;800,0;2020-08-15 22:54:16;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:00:00;measure;7,3;6,6;5,9;5,7;1,1;1,2;1,1;1,1;0,8;25,1;33,2;38,3;800,0;2020-08-15 22:59:16;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:05:00;measure;7,1;6,6;6,0;5,7;1,1;1,2;1,1;1,1;0,8;25,0;33,2;38,4;800,0;2020-08-15 23:04:16;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:10:00;measure;6,8;6,7;5,9;5,7;1,1;1,2;1,1;1,1;0,8;25,2;33,2;38,5;800,0;2020-08-15 23:09:16;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:15:00;measure;6,8;6,8;5,8;5,6;1,1;1,2;1,1;1,1;0,8;25,1;33,1;38,6;800,0;2020-08-15 23:14:16;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:20:00;measure;6,7;6,7;5,8;5,8;1,1;1,2;1,1;1,1;0,8;24,9;33,1;38,6;800,0;2020-08-15 23:19:17;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:25:00;measure;6,6;6,2;5,5;5,5;1,1;1,2;1,1;1,1;0,8;25,0;33,1;38,7;800,0;2020-08-15 23:24:17;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:30:00;measure;6,0;5,9;5,6;5,5;1,1;1,2;1,1;1,1;0,8;24,9;33,0;38,7;800,0;2020-08-15 23:29:17;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:35:00;measure;6,3;6,1;5,5;5,3;1,1;1,2;1,1;1,1;0,8;24,9;33,0;38,8;800,0;2020-08-15 23:34:17;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:40:00;measure;6,5;6,5;5,7;5,6;1,1;1,2;1,1;1,1;0,8;25,0;33,0;38,7;800,0;2020-08-15 23:39:17;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:45:00;measure;6,9;6,9;5,8;5,7;1,1;1,2;1,1;1,1;0,8;24,9;33,0;38,8;800,0;2020-08-15 23:44:18;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:50:00;measure;6,8;6,8;5,9;5,8;1,1;1,2;1,1;1,1;0,8;24,8;32,9;38,8;800,0;2020-08-15 23:49:18;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 01:55:00;measure;7,1;7,1;5,9;5,7;1,1;1,2;1,1;1,1;0,8;24,6;32,9;38,8;800,0;2020-08-15 23:54:18;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:00:00;measure;7,3;7,3;6,1;5,9;1,1;1,2;1,1;1,1;0,8;24,6;32,9;38,8;800,0;2020-08-15 23:59:18;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:05:00;measure;7,7;7,7;6,3;6,0;1,1;1,2;1,1;1,1;0,8;24,6;32,8;38,8;800,0;2020-08-16 00:04:18;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:10:00;measure;7,5;7,5;6,6;6,3;1,1;1,2;1,1;1,1;0,8;24,6;32,8;38,8;800,0;2020-08-16 00:09:19;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:15:00;measure;7,4;7,3;6,5;6,1;1,1;1,2;1,1;1,1;0,8;24,6;32,8;38,8;800,0;2020-08-16 00:14:19;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:20:00;measure;7,2;6,8;6,2;6,0;1,1;1,2;1,1;1,1;0,8;24,3;32,7;38,9;800,0;2020-08-16 00:19:19;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:25:00;measure;6,6;6,3;5,7;5,7;1,1;1,2;1,1;1,1;0,8;24,5;32,7;39,0;800,0;2020-08-16 00:24:19;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:30:00;measure;6,3;5,9;5,6;5,3;1,1;1,2;1,1;1,1;0,8;24,3;32,7;38,9;800,0;2020-08-16 00:29:19;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:35:00;measure;6,1;6,0;5,8;5,3;1,1;1,2;1,1;1,1;0,8;23,9;32,7;38,9;800,0;2020-08-16 00:34:20;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:40:00;measure;5,6;5,6;5,4;4,9;1,1;1,2;1,1;1,1;0,8;23,9;32,6;38,5;800,0;2020-08-16 00:39:20;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:45:00;measure;5,9;5,9;5,5;5,3;1,1;1,2;1,1;1,1;0,8;23,9;32,5;38,7;800,0;2020-08-16 00:44:20;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:50:00;measure;5,7;5,7;5,1;5,0;1,1;1,2;1,1;1,1;0,8;23,9;32,5;38,8;800,0;2020-08-16 00:49:20;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 02:55:00;measure;5,7;5,7;5,1;5,1;1,1;1,2;1,1;1,1;0,8;24,0;32,4;39,1;800,0;2020-08-16 00:54:20;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 03:00:00;measure;5,1;5,1;4,6;4,6;1,1;1,2;1,1;1,1;0,8;24,0;32,4;39,2;800,0;2020-08-16 00:59:21;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-16 03:05:00;measure;5,1;5,1;4,6;4,5;1,1;1,2;1,1;1,1;0,8;23,4;32,3;38,9;800,0;2020-08-16 01:04:21;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
