***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***
2020-08-17 00:00:06;SN19007;measure;12,99;10,59;9,95;45096,7;2863,7;589,6;98,3;112,3;112,3;49,1;49,1;21,1;14,0;14,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340620;23,5;33,8;35,4;2020-08-16 22:00:06;E10,902393;N48,359102;477,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:05:06;SN19007;measure;10,47;9,09;8,53;38069,5;2165,4;453,7;123,7;82,5;116,9;48,1;20,6;20,6;6,9;6,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340620;23,6;33,6;35,1;2020-08-16 22:05:06;E10,902373;N48,359125;477,100;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:10:06;SN19007;measure;9,67;8,74;8,16;35594,7;1945,4;405,6;116,9;75,6;75,6;68,7;20,6;20,6;6,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340620;23,9;33,3;34,9;2020-08-16 22:10:06;E10,902425;N48,359132;477,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:15:06;SN19007;measure;9,81;8,72;8,02;34625,5;2165,4;426,2;165,0;123,7;82,5;96,2;6,9;20,6;0,0;0,0;6,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340620;23,9;33,1;34,8;2020-08-16 22:15:06;E10,902457;N48,359137;478,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:20:06;SN19007;measure;11,47;9,44;8,70;37015,5;2498,6;526,4;147,4;147,4;63,2;91,2;35,1;14,0;21,1;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340620;24,1;33,0;34,6;2020-08-16 22:20:06;E10,902457;N48,359105;477,500;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:25:06;SN19007;measure;11,39;8,55;8,02;34166,6;2090,7;423,7;132,0;76,4;104,2;41,7;20,8;13,9;27,8;0,0;13,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340620;24,1;32,9;34,6;2020-08-16 22:25:06;E10,902617;N48,359132;477,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:30:06;SN19007;measure;8,74;8,01;7,52;32092,4;1727,9;380,0;143,4;93,2;86,0;43,0;21,5;0,0;0,0;7,2;0,0;0,0;0,0;0,0;7,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340620;24,0;32,9;34,4;2020-08-16 22:30:06;E10,902508;N48,359265;483,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:35:06;SN19007;measure;8,65;7,13;6,71;28237,5;1572,8;347,9;79,7;123,2;72,5;29,0;0,0;43,5;0,0;7,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340620;24,2;33,0;33,7;2020-08-16 22:35:06;E10,902477;N48,359108;482,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:40:06;SN19007;measure;9,80;6,62;6,05;25307,1;1378,0;288,9;66,7;111,1;59,3;59,3;29,6;22,2;7,4;14,8;0,0;7,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340620;24,2;32,9;33,1;2020-08-16 22:40:06;E10,902385;N48,359245;481,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
