***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***
2020-08-17 00:00:06;SN19020;measure;11,57;10,29;9,91;47904,6;3589,8;648,5;59,4;95,9;91,3;27,4;13,7;27,4;9,1;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,4;31,6;40,6;2020-08-16 22:00:06;E10,933545;N48,400142;482,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:05:06;SN19020;measure;11,81;9,33;8,71;41083,1;3023,2;561,7;105,0;146,1;105,0;77,6;13,7;22,8;27,4;0,0;4,6;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,6;31,6;40,3;2020-08-16 22:05:06;E10,933450;N48,400142;480,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:10:06;SN19020;measure;12,21;10,09;9,50;43656,2;3110,0;536,2;107,2;130,6;97,9;74,6;14,0;14,0;14,0;4,7;9,3;0,0;4,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;23,0;31,5;39,9;2020-08-16 22:10:06;E10,933413;N48,400315;484,100;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:15:06;SN19020;measure;10,57;9,13;8,71;40008,0;3023,8;537,1;138,9;143,5;50,9;46,3;9,3;13,9;18,5;0,0;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;23,1;31,6;39,9;2020-08-16 22:15:06;E10,933513;N48,400208;487,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:20:06;SN19020;measure;10,12;8,79;8,25;37492,6;2414,3;482,9;115,0;96,6;73,6;55,2;27,6;27,6;4,6;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;23,2;31,7;39,2;2020-08-16 22:20:06;E10,933452;N48,400125;485,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:25:06;SN19020;measure;8,94;7,77;7,38;33689,5;2221,1;459,9;138,0;73,6;73,6;32,2;13,8;18,4;9,2;4,6;0,0;0,0;0,0;4,6;0,0;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;23,1;31,9;38,9;2020-08-16 22:25:06;E10,933447;N48,400125;480,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:30:06;SN19020;measure;7,58;6,75;6,30;28410,3;1839,4;344,9;96,6;101,2;82,8;32,2;27,6;18,4;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;23,1;32,0;38,0;2020-08-16 22:30:06;E10,933560;N48,400208;482,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:35:06;SN19020;measure;7,43;5,70;5,30;23681,3;1632,4;271,3;87,4;73,6;50,6;46,0;9,2;27,6;0,0;4,6;9,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,9;32,1;37,0;2020-08-16 22:35:06;E10,933510;N48,400150;481,500;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:40:06;SN19020;measure;6,48;4,79;4,45;19538,2;1218,6;317,3;41,4;115,0;64,4;27,6;18,4;0,0;4,6;13,8;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;23,0;32,1;35,9;2020-08-16 22:40:06;E10,933460;N48,400152;481,100;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:45:06;SN19020;measure;5,14;4,30;3,93;16941,3;1149,7;266,7;92,0;78,2;46,0;41,4;13,8;9,2;9,2;0,0;0,0;0,0;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;23,1;32,2;35,1;2020-08-16 22:45:06;E10,933427;N48,400148;480,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:50:06;SN19020;measure;5,71;4,41;3,99;17061,7;993,2;275,1;69,9;79,3;56,0;46,6;18,7;9,3;14,0;4,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;23,1;32,3;34,1;2020-08-16 22:50:06;E10,933427;N48,400200;478,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:55:06;SN19020;measure;5,50;4,34;3,94;16739,8;969,4;260,1;66,2;70,9;66,2;47,3;4,7;14,2;9,5;0,0;4,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;23,1;32,3;33,7;2020-08-16 22:55:06;E10,933493;N48,400215;476,500;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:00:06;SN19020;measure;5,42;4,36;3,97;16991,7;1007,2;233,1;69,9;69,9;37,3;51,3;14,0;9,3;9,3;4,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,8;32,3;33,4;2020-08-16 23:00:06;E10,933452;N48,400190;477,500;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:05:06;SN19020;measure;5,23;4,49;4,26;18286,1;1191,6;212,8;94,6;42,6;33,1;23,6;4,7;4,7;4,7;0,0;4,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,6;32,3;33,5;2020-08-16 23:05:06;E10,933455;N48,400152;476,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:10:06;SN19020;measure;6,41;4,70;4,44;19189,3;1134,9;293,2;75,7;99,3;37,8;9,5;18,9;9,5;4,7;4,7;9,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,6;32,2;33,9;2020-08-16 23:10:06;E10,933435;N48,400148;475,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:15:06;SN19020;measure;7,87;5,62;5,23;22747,4;1481,2;376,3;109,5;104,8;71,4;33,3;9,5;14,3;4,8;9,5;4,8;4,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,5;32,1;34,6;2020-08-16 23:15:06;E10,933467;N48,400168;479,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:20:06;SN19020;measure;6,47;5,54;5,20;22818,9;1501,4;354,4;69,9;79,3;60,6;28,0;18,7;4,7;0,0;9,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,4;32,1;34,9;2020-08-16 23:20:06;E10,933470;N48,400195;476,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:25:06;SN19020;measure;7,87;5,88;5,48;24231,7;1741,1;324,1;46,3;78,7;55,6;37,0;27,8;18,5;9,3;13,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,4;32,0;35,3;2020-08-16 23:25:06;E10,933445;N48,400195;473,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:30:06;SN19020;measure;7,35;6,25;5,93;26368,5;1954,4;418,5;105,8;110,4;46,0;36,8;4,6;0,0;4,6;4,6;0,0;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,4;32,0;36,1;2020-08-16 23:30:06;E10,933482;N48,400172;474,500;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:35:06;SN19020;measure;9,98;7,77;7,26;32664,0;2437,3;436,9;142,6;119,6;82,8;41,4;36,8;9,2;4,6;0,0;4,6;9,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,2;32,0;36,3;2020-08-16 23:35:06;E10,933470;N48,400165;477,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:40:06;SN19020;measure;9,67;8,43;7,90;35981,8;2630,2;455,2;119,6;73,6;96,6;55,2;23,0;13,8;4,6;0,0;0,0;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340612;22,2;31,9;36,8;2020-08-16 23:40:06;E10,933480;N48,400180;476,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:45:06;SN19020;measure;10,38;8,95;8,40;38817,0;2823,6;446,1;156,4;124,2;73,6;59,8;18,4;27,6;18,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,6;0,0;0,0;0,0;177340612;22,0;31,8;37,2;2020-08-16 23:45:06;E10,933485;N48,400160;476,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
