***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***
2020-08-16 00:00:06;SN19054;measure;11,68;10,77;10,27;53033,1;3579,0;521,2;151,9;147,7;84,4;50,6;29,5;14,8;4,2;4,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460002;21,1;31,0;41,0;2020-08-15 22:00:06;E10,874277;N48,332912;511,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:05:06;SN19054;measure;11,69;10,94;10,47;54863,3;3743,4;595,1;130,8;156,1;99,2;48,5;21,1;10,6;4,2;4,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460002;20,9;31,0;41,0;2020-08-15 22:05:06;E10,874368;N48,332860;514,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:10:06;SN19054;measure;11,31;10,69;10,26;54339,4;3825,9;540,2;120,3;156,2;97,1;48,5;10,6;8,4;2,1;2,1;2,1;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460002;20,8;30,9;41,2;2020-08-15 22:10:06;E10,874378;N48,332773;514,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:15:06;SN19054;measure;11,61;10,91;10,50;55599,2;3958,9;622,5;132,9;124,5;95,0;44,3;12,7;14,8;6,3;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460002;20,8;30,9;41,4;2020-08-15 22:15:06;E10,874312;N48,332828;515,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:20:06;SN19054;measure;11,79;10,75;10,37;55040,5;3983,9;578,2;168,8;156,1;76,0;35,9;14,8;8,4;4,2;2,1;4,2;2,1;0,0;0,0;0,0;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;177460002;20,8;30,8;41,5;2020-08-15 22:20:06;E10,874258;N48,332942;513,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:25:06;SN19054;measure;11,59;11,08;10,69;56496,1;4273,3;687,9;139,3;124,5;101,3;35,9;8,4;12,7;2,1;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460002;20,7;30,7;41,5;2020-08-15 22:25:06;E10,874278;N48,332898;522,100;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:30:06;SN19054;measure;12,07;10,93;10,55;57562,1;4298,3;685,8;139,3;156,1;78,1;35,9;14,8;19,0;10,6;0,0;2,1;2,1;0,0;2,1;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460002;20,4;30,7;41,8;2020-08-15 22:30:06;E10,874285;N48,332937;525,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:35:06;SN19054;measure;12,10;11,38;10,94;58960,9;4589,8;643,6;137,2;147,7;109,7;48,5;6,3;16,9;6,3;2,1;0,0;0,0;2,1;0,0;0,0;4,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460002;20,6;30,6;41,9;2020-08-15 22:35:06;E10,874222;N48,332958;508,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:40:06;SN19054;measure;13,08;12,00;11,51;60915,0;4792,4;685,8;177,3;164,6;88,6;52,8;21,1;19,0;2,1;6,3;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460002;20,6;30,6;41,8;2020-08-15 22:40:06;E10,874225;N48,332928;518,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-16 00:45:06;SN19054;measure;12,91;11,81;11,35;61670,6;4994,7;753,3;143,5;189,9;88,6;54,9;16,9;10,6;12,7;4,2;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460002;20,4;30,5;42,2;2020-08-15 22:45:06;E10,874230;N48,332930;516,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
