***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***
2020-08-17 00:00:06;SN19051;measure;12,01;11,23;10,91;50992,8;2209,6;414,0;91,5;111,1;50,1;21,8;13,1;24,0;4,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;23,6;33,5;37,2;2020-08-16 22:00:06;E10,944838;N48,349070;497,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:05:06;SN19051;measure;12,22;10,85;10,53;47584,5;1944,3;358,2;62,6;73,4;60,4;30,2;6,5;17,3;6,5;2,2;0,0;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;23,7;33,2;36,2;2020-08-16 22:05:06;E10,944960;N48,349088;528,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:10:06;SN19051;measure;11,78;10,49;10,08;44533,6;1710,0;352,8;79,6;98,9;47,3;43,0;23,7;8,6;0,0;2,2;2,2;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,0;33,0;35,9;2020-08-16 22:10:06;E10,945003;N48,349025;531,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:15:06;SN19051;measure;11,07;10,27;9,89;42781,3;1630,5;346,3;73,1;99,0;66,7;38,7;6,5;8,6;2,2;2,2;2,2;0,0;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,3;32,9;35,4;2020-08-16 22:15:06;E10,944992;N48,349078;529,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:20:06;SN19051;measure;11,84;10,03;9,72;41965,5;1545,9;280,9;64,3;68,6;57,9;23,6;15,0;6,4;8,6;6,4;4,3;2,1;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,4;32,9;35,2;2020-08-16 22:20:06;E10,944983;N48,349120;532,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:25:06;SN19051;measure;11,10;9,79;9,46;40795,4;1460,2;278,7;72,9;102,9;57,9;21,4;10,7;17,2;4,3;6,4;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,2;33,0;34,8;2020-08-16 22:25:06;E10,945110;N48,349023;496,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:30:06;SN19051;measure;10,12;9,44;9,13;39133,2;1380,8;257,3;66,5;72,9;51,5;34,3;4,3;4,3;2,1;2,1;2,1;0,0;4,3;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,3;33,0;34,3;2020-08-16 22:30:06;E10,944972;N48,349193;545,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:35:06;SN19051;measure;10,36;8,96;8,64;36993,5;1226,4;229,4;53,6;64,3;34,3;38,6;12,9;6,4;4,3;2,1;8,6;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,4;33,1;34,1;2020-08-16 22:35:06;E10,945007;N48,349372;555,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:40:06;SN19051;measure;9,73;8,71;8,41;35649,4;1149,3;235,9;81,5;53,6;34,3;27,9;8,6;19,3;0,0;4,3;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,4;33,1;33,5;2020-08-16 22:40:06;E10,945090;N48,349250;516,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:45:06;SN19051;measure;10,07;8,59;8,26;34770,1;1117,1;261,6;53,6;64,3;45,0;38,6;8,6;8,6;4,3;2,1;0,0;6,4;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,6;33,2;33,1;2020-08-16 22:45:06;E10,945060;N48,349370;530,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:50:06;SN19051;measure;10,04;8,21;7,88;32786,9;1085,0;223,0;70,8;64,3;36,5;36,5;12,9;8,6;12,9;0,0;4,3;4,3;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,9;33,3;32,6;2020-08-16 22:50:06;E10,945072;N48,349347;520,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:55:06;SN19051;measure;8,77;8,11;7,82;32323,7;1024,9;278,7;66,5;55,7;42,9;30,0;8,6;4,3;2,1;0,0;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,9;33,3;31,9;2020-08-16 22:55:06;E10,945038;N48,349420;513,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:00:06;SN19051;measure;10,04;8,21;7,86;32662,5;1031,3;184,4;72,9;47,2;51,5;27,9;17,2;17,2;6,4;10,7;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,8;33,4;32,1;2020-08-16 23:00:06;E10,945030;N48,349407;510,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:05:06;SN19051;measure;9,44;8,28;7,98;33301,5;1198,6;188,7;60,0;53,6;42,9;21,4;15,0;19,3;6,4;2,1;0,0;0,0;4,3;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,6;33,4;32,0;2020-08-16 23:05:06;E10,944957;N48,349338;508,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:10:06;SN19051;measure;9,25;8,03;7,76;32214,4;1091,3;210,1;90,1;68,6;45,0;15,0;17,2;4,3;4,3;4,3;4,3;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,6;33,4;31,8;2020-08-16 23:10:06;E10,944930;N48,349207;506,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:15:06;SN19051;measure;9,55;7,90;7,61;31828,4;1048,4;210,1;40,7;85,8;38,6;23,6;12,9;15,0;2,1;10,7;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,3;33,3;31,7;2020-08-16 23:15:06;E10,945037;N48,349242;502,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:20:06;SN19051;measure;10,00;8,77;8,42;34862,5;1226,5;227,3;62,2;57,9;60,0;32,2;8,6;12,9;4,3;2,1;4,3;0,0;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,6;33,3;31,5;2020-08-16 23:20:06;E10,945060;N48,349220;500,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:25:06;SN19051;measure;11,35;9,28;8,95;37206,1;1350,8;306,6;57,9;100,8;42,9;25,7;12,9;12,9;4,3;10,7;4,3;2,1;0,0;0,0;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,8;33,3;32,3;2020-08-16 23:25:06;E10,945017;N48,349245;498,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:30:06;SN19051;measure;10,05;9,22;8,84;37188,6;1393,6;248,7;79,3;68,6;49,3;45,0;15,0;2,1;2,1;2,1;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177460319;24,5;33,3;32,9;2020-08-16 23:30:06;E10,945073;N48,349232;487,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
