***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***
2020-08-17 00:00:06;SN19010;measure;9,39;7,83;7,34;33597,4;2027,7;378,2;117,0;132,6;74,1;58,5;3,9;19,5;15,6;7,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340610;22,9;31,9;38,4;2020-08-16 22:00:06;E10,897658;N48,335940;507,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:05:06;SN19010;measure;8,80;7,50;7,11;31495,5;1923,2;381,6;88,6;84,8;65,5;38,5;15,4;11,6;3,9;3,9;0,0;3,9;0,0;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340610;23,3;31,8;37,9;2020-08-16 22:05:06;E10,897662;N48,335938;507,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:10:06;SN19010;measure;7,92;6,31;5,90;25938,9;1532,5;362,6;66,3;109,2;70,2;35,1;19,5;15,6;0,0;3,9;3,9;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340610;23,2;31,7;37,4;2020-08-16 22:10:06;E10,897663;N48,335935;507,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:15:06;SN19010;measure;6,91;5,34;4,88;20847,9;1194,2;286,3;82,9;79,1;52,7;56,5;7,5;26,4;3,8;3,8;0,0;3,8;0,0;7,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340610;23,6;31,6;36,2;2020-08-16 22:15:06;E10,897662;N48,335948;507,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:20:06;SN19010;measure;7,69;5,15;4,77;20204,8;1098,7;238,7;68,2;94,7;30,3;45,5;11,4;18,9;7,6;18,9;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340610;23,5;31,7;35,2;2020-08-16 22:20:06;E10,897662;N48,335975;508,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:25:06;SN19010;measure;7,15;5,17;4,76;20054,0;1144,1;252,5;78,9;94,7;55,2;43,4;15,8;7,9;7,9;3,9;0,0;7,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340610;23,4;31,7;34,8;2020-08-16 22:25:06;E10,897658;N48,335997;509,500;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:30:06;SN19010;measure;5,14;4,74;4,37;18303,5;935,1;284,1;67,1;63,1;39,5;47,3;11,8;11,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340610;23,6;31,7;34,4;2020-08-16 22:30:06;E10,897617;N48,336022;512,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:35:06;SN19010;measure;4,86;4,19;3,84;16100,1;957,6;224,9;69,8;34,9;54,3;34,9;15,5;7,8;0,0;0,0;3,9;0,0;0,0;0,0;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340610;23,2;31,7;33,8;2020-08-16 22:35:06;E10,897592;N48,336047;524,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:40:06;SN19010;measure;5,10;3,82;3,46;14388,8;838,4;152,1;89,7;89,7;35,1;31,2;15,6;19,5;3,9;3,9;0,0;0,0;7,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340610;23,2;31,8;33,3;2020-08-16 22:40:06;E10,897587;N48,336048;523,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
