***begin of header***
date&time [local time];date&time [UTC];longitude [°];lattitude [°];height [m];PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,25 µm;0,28 µm;0,30 µm;0,35 µm;0,40 µm;0,45 µm;0,50 µm;0,58 µm;0,65 µm;0,70 µm;0,80 µm;1,00 µm;1,30 µm;1,60 µm;2,00 µm;2,50 µm;3,00 µm;3,50 µm;4,00 µm;5,00 µm;6,50 µm;7,50 µm;8,50 µm;10,00 µm;12,50 µm;15,00 µm;17,50 µm;20,00 µm;25,00 µm;30,00 µm;32,00 µm;Temp. [°C]; humidity [%rH]; pressure [hPa];serial-No;software-version
***end of header***

2020-08-17 00:02:57;2020-08-16 22:02:57;E10,906933;N48,357967;H489,8;10,5;9,2;8,5;7,4;38496;23027;15251;9222;2367;560;561;188;52;79;57;33;17;24;43;26;5;2;3;2;1;0;0;0;1;0;0;0;0;0;0;21,7;70,3;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 00:07:57;2020-08-16 22:07:57;E10,906897;N48,357963;H487,2;9,8;8,0;7,4;6,6;34693;20251;13357;7934;2041;500;495;149;52;51;40;28;19;19;32;16;3;2;3;3;0;0;1;0;0;0;0;0;0;0;0;21,9;67,8;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 00:12:57;2020-08-16 22:12:57;E10,906913;N48,357955;H498,3;8,4;7,7;7,1;6,3;33229;19464;12854;7647;1902;454;450;136;51;65;56;38;10;20;29;14;5;3;3;0;1;0;0;0;0;0;0;0;0;0;0;21,9;67,0;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 00:17:57;2020-08-16 22:17:57;E10,907000;N48,358390;H518,9;8,9;7,5;7,0;6,2;32626;19325;12763;7390;1896;430;444;129;54;75;57;30;16;36;27;12;2;1;3;1;1;1;0;0;0;0;0;0;0;0;0;21,9;66,8;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 00:22:57;2020-08-16 22:22:57;E10,906948;N48,358078;H491,2;9,6;7,6;7,0;6,2;32389;18532;12261;7167;1892;436;430;132;52;64;61;43;33;23;30;13;3;1;4;2;1;0;1;0;0;0;0;0;0;0;0;21,9;66,4;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 00:27:57;2020-08-16 22:27:57;E10,906918;N48,357970;H492,4;9,7;7,4;6,7;5,9;31262;17559;11959;6943;1820;449;412;149;47;71;31;42;14;22;32;14;4;2;2;3;0;1;0;1;0;0;0;0;0;0;0;21,9;65,0;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 00:32:57;2020-08-16 22:32:57;E10,906918;N48,357983;H483,8;7,7;6,9;6,4;5,6;29387;16579;11035;6477;1647;386;420;153;39;56;35;39;20;23;30;16;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;21,9;64,6;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 00:37:58;2020-08-16 22:37:57;E10,906990;N48,357947;H489,9;8,3;6,5;5,9;5,1;26748;15162;9615;5698;1469;341;367;133;55;49;48;26;15;22;35;18;4;1;3;1;1;0;1;0;0;0;0;0;0;0;0;21,9;63,1;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 00:42:58;2020-08-16 22:42:57;E10,906855;N48,358068;H473,5;5,7;4,8;4,5;4,0;21156;11849;7633;4514;1137;330;301;95;41;52;39;30;10;12;20;9;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;21,9;60,5;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 00:47:58;2020-08-16 22:47:57;E10,906987;N48,357933;H491,8;5,4;4,2;3,9;3,3;17496;9536;6159;3624;905;246;290;93;35;34;31;29;13;20;23;10;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;21,7;58,6;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 00:52:58;2020-08-16 22:52:58;E10,907007;N48,358000;H494,0;4,9;4,3;3,9;3,3;17526;9584;6166;3614;1018;264;234;97;35;51;34;23;14;11;25;13;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;21,7;58,6;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 00:57:58;2020-08-16 22:57:58;E10,907055;N48,357978;H498,7;6,3;4,3;3,9;3,4;18070;9767;6401;3695;996;267;273;109;32;33;27;20;16;13;18;11;1;1;0;2;0;1;0;1;0;0;0;0;0;0;0;21,7;59,6;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:02:58;2020-08-16 23:02:58;E10,907052;N48,357973;H502,1;4,8;4,2;3,9;3,4;18081;9862;6362;3627;963;233;242;109;31;47;42;26;12;11;23;8;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;21,5;60,0;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:07:58;2020-08-16 23:07:58;E10,907030;N48,357932;H498,2;4,9;4,3;4,0;3,4;17859;9709;6548;3691;947;259;305;95;38;46;32;21;17;18;23;12;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;21,3;60,2;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:12:58;2020-08-16 23:12:58;E10,907068;N48,357907;H494,3;6,2;4,8;4,3;3,7;19203;10727;6837;4052;1054;228;296;115;41;53;33;30;10;19;25;13;2;1;2;2;0;0;1;0;0;0;0;0;0;0;0;21,3;61,3;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:17:58;2020-08-16 23:17:58;E10,906965;N48,358088;H513,1;5,6;5,0;4,6;4,0;20778;11384;7479;4297;1152;311;321;107;41;58;38;30;13;15;24;17;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;21,3;62,5;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:22:58;2020-08-16 23:22:58;E10,907032;N48,358023;H532,7;5,8;5,1;4,7;4,0;21340;11690;7604;4498;1151;295;288;110;40;42;31;25;19;18;24;12;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;21,1;63,1;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:27:58;2020-08-16 23:27:58;E10,907143;N48,358007;H541,1;6,2;5,3;4,8;4,3;22600;12350;8221;4843;1279;340;356;138;46;56;41;22;19;16;16;13;1;2;2;1;0;1;0;0;0;0;0;0;0;0;0;21,1;64,1;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:32:58;2020-08-16 23:32:58;E10,907237;N48,357997;H544,0;6,7;5,9;5,4;4,6;24197;13725;8966;5262;1392;353;383;136;43;57;45;32;22;18;31;13;3;2;2;1;1;0;0;0;0;0;0;0;0;0;0;20,9;64,8;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:37:58;2020-08-16 23:37:58;E10,907207;N48,358007;H539,9;7,5;6,1;5,6;4,9;25652;14278;9677;5633;1502;433;366;126;36;72;46;41;14;20;28;11;4;1;4;1;0;0;1;0;0;0;0;0;0;0;0;20,9;66,2;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:42:58;2020-08-16 23:42:58;E10,907190;N48,358012;H536,8;7,8;6,5;5,9;5,1;26926;15179;9990;5995;1561;379;433;121;51;35;38;25;23;21;29;18;2;2;3;2;0;1;0;0;0;0;0;0;0;0;0;20,9;67,6;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:47:59;2020-08-16 23:47:59;E10,907178;N48,358012;H534,3;7,5;6,7;6,2;5,5;28804;16462;10628;6309;1548;394;429;157;56;58;35;27;16;18;29;16;3;2;2;1;1;0;0;0;0;0;0;0;0;0;0;20,7;68,8;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:52:59;2020-08-16 23:52:59;E10,906985;N48,358012;H501,1;8,0;7,2;6,6;5,8;30543;17661;11442;6612;1737;369;405;127;49;65;47;38;20;22;33;18;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;20,7;69,7;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 01:57:59;2020-08-16 23:57:59;E10,906743;N48,358110;H497,7;7,4;7,0;6,6;5,9;30891;17770;11904;6789;1793;428;430;125;46;65;41;47;21;17;26;14;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;20,5;70,9;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 02:02:59;2020-08-17 00:02:59;E10,907112;N48,357917;H497,4;8,5;7,3;6,7;5,9;30802;17765;11683;6884;1768;424;418;134;44;60;55;34;17;29;35;17;4;2;1;2;0;1;0;0;0;0;0;0;0;0;0;20,5;71,3;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 02:07:59;2020-08-17 00:07:59;E10,906990;N48,358035;H515,3;9,1;7,3;6,6;5,8;30211;17784;11426;6818;1773;414;427;141;39;52;31;44;15;21;35;18;4;3;3;1;1;0;1;0;0;0;0;0;0;0;0;20,4;71,3;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 02:12:59;2020-08-17 00:12:59;E10,907178;N48,358112;H570,9;8,2;6,8;6,3;5,6;29521;17063;10894;6548;1688;418;381;117;42;57;52;37;20;15;24;17;4;3;1;1;0;0;0;1;0;0;0;0;0;0;0;20,4;70,9;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 02:17:59;2020-08-17 00:17:59;E10,907103;N48,357948;H503,6;7,4;6,6;6,1;5,4;28652;16403;10802;6258;1652;393;388;130;43;52;44;23;17;16;28;16;1;3;2;0;0;1;0;0;0;0;0;0;0;0;0;20,4;70,5;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 02:22:59;2020-08-17 00:22:59;E10,907290;N48,358248;H620,1;7,4;6,6;6,1;5,4;28359;16087;10433;6158;1633;404;355;133;54;68;43;33;17;18;26;13;3;2;2;1;1;0;0;0;0;1;0;0;0;0;0;20,2;71,1;NA;7H180002;SW V7-0 (2020-04-06)
2020-08-17 02:27:59;2020-08-17 00:27:59;E10,907087;N48,358212;H571,5;8,0;6,7;6,2;5,5;28814;16804;10988;6443;1682;374;380;160;45;53;43;32;13;18;31;19;0;1;2;1;0;0;1;0;0;0;0;0;0;0;0;20,0;72,1;NA;7H180002;SW V7-0 (2020-04-06)
