***begin of header***
date&time [local time];date&time [UTC];longitude [°];lattitude [°];height [m];PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,25 µm;0,28 µm;0,30 µm;0,35 µm;0,40 µm;0,45 µm;0,50 µm;0,58 µm;0,65 µm;0,70 µm;0,80 µm;1,00 µm;1,30 µm;1,60 µm;2,00 µm;2,50 µm;3,00 µm;3,50 µm;4,00 µm;5,00 µm;6,50 µm;7,50 µm;8,50 µm;10,00 µm;12,50 µm;15,00 µm;17,50 µm;20,00 µm;25,00 µm;30,00 µm;32,00 µm;Temp. [°C]; humidity [%rH]; pressure [hPa];serial-No;software-version
***end of header***

2020-08-17 00:02:27;2020-08-16 22:02:14;E10,899806;N48,374250;H500,0;12,2;9,6;9,0;8,2;42934;27025;17594;10069;2718;685;682;140;56;69;58;32;17;21;24;15;3;3;4;2;0;0;1;1;0;0;0;0;0;0;0;21,5;73,4;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 00:07:27;2020-08-16 22:07:14;E10,899806;N48,374250;H500,0;11,3;8,9;8,3;7,5;39687;24186;15597;8898;2202;520;566;133;57;61;48;35;24;26;21;12;4;3;5;0;1;1;0;1;0;0;0;0;0;0;0;21,7;71,1;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 00:12:27;2020-08-16 22:12:15;E10,899806;N48,374250;H500,0;10,5;8,5;7,7;7,0;36901;22161;14303;8134;1958;492;510;138;61;51;45;27;12;23;22;17;3;3;5;4;0;0;1;0;0;0;0;0;0;0;0;21,9;69,5;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 00:17:27;2020-08-16 22:17:15;E10,899806;N48,374250;H500,0;9,1;7,5;6,8;6,2;32804;19342;12281;7050;1667;417;446;132;48;60;49;33;25;17;18;12;4;4;3;0;2;1;0;0;0;0;0;0;0;0;0;21,9;67,0;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 00:22:27;2020-08-16 22:22:15;E10,899806;N48,374250;H500,0;7,6;6,7;6,1;5,5;29009;16875;10914;6010;1590;347;447;114;49;55;38;32;16;15;21;12;5;2;4;2;0;0;0;0;1;0;0;0;0;0;0;21,9;65,0;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 00:27:27;2020-08-16 22:27:16;E10,899806;N48,374250;H500,0;8,4;6,6;5,9;5,2;27425;15821;9932;5533;1480;343;373;99;54;51;42;29;16;26;27;12;5;4;3;1;1;0;1;0;0;0;0;0;0;0;0;21,9;63,7;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 00:32:28;2020-08-16 22:32:16;E10,899806;N48,374250;H500,0;8,7;6,5;5,9;5,2;27701;15957;10163;5679;1401;336;390;115;45;41;37;30;16;37;21;11;5;1;3;2;0;1;0;1;0;0;0;0;0;0;0;21,9;64,3;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 00:37:28;2020-08-16 22:37:17;E10,899806;N48,374250;H500,0;9,1;6,6;5,9;5,3;27931;16430;10314;5844;1477;344;392;84;52;57;43;32;10;16;18;12;5;3;5;2;2;0;1;0;0;0;0;0;0;0;0;21,9;64,8;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 00:42:28;2020-08-16 22:42:17;E10,899806;N48,374250;H500,0;9,7;6,7;5,9;5,2;27649;15781;10006;5600;1350;332;400;95;43;48;34;34;8;19;28;15;4;2;5;2;1;0;1;1;0;1;0;0;0;0;0;21,7;64,8;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 00:47:28;2020-08-16 22:47:18;E10,899806;N48,374250;H500,0;7,9;6,3;5,5;4,9;25806;15161;9364;5309;1346;319;395;86;43;74;34;33;13;19;21;12;4;4;4;3;0;1;0;0;1;0;0;0;0;0;0;21,7;64,3;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 00:52:28;2020-08-16 22:52:18;E10,899806;N48,374250;H500,0;6,6;5,3;4,9;4,4;23595;13343;8513;4743;1146;277;302;97;33;53;33;30;13;13;17;9;2;2;2;1;0;0;1;0;0;0;0;0;0;0;0;21,5;63,5;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 00:57:28;2020-08-16 22:57:19;E10,899806;N48,374250;H500,0;6,6;5,6;5,0;4,4;23480;13222;8384;4716;1214;278;343;84;38;49;37;33;9;18;22;11;3;2;5;1;1;0;0;0;0;0;0;0;0;0;0;21,5;64,6;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:02:28;2020-08-16 23:02:19;E10,899806;N48,374250;H500,0;6,8;5,5;5,1;4,6;24547;14092;8790;4869;1314;313;340;91;44;42;39;30;11;16;15;11;3;0;3;1;0;0;1;0;0;0;0;0;0;0;0;21,3;65,2;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:07:28;2020-08-16 23:07:19;E10,899806;N48,374250;H500,0;8,0;5,8;5,2;4,6;24094;13812;8690;4853;1288;318;356;86;40;51;44;32;10;13;27;16;3;3;2;2;0;1;0;1;0;0;0;0;0;0;0;21,5;64,3;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:12:28;2020-08-16 23:12:20;E10,899806;N48,374250;H500,0;7,2;5,7;5,1;4,4;23296;13312;8308;4662;1219;329;395;106;46;49;32;28;14;16;27;17;3;3;2;2;0;0;1;0;0;0;0;0;0;0;0;21,5;63,1;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:17:28;2020-08-16 23:17:20;E10,899806;N48,374250;H500,0;7,0;5,3;4,9;4,3;22765;13051;8274;4621;1168;288;357;86;26;35;38;30;11;16;23;11;2;2;2;1;1;0;1;0;0;0;0;0;0;0;0;21,3;66,0;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:22:28;2020-08-16 23:22:21;E10,899806;N48,374250;H500,0;6,4;5,3;4,8;4,2;22022;12571;7826;4401;1130;296;372;95;44;39;37;25;14;11;20;18;3;1;4;0;2;0;0;0;0;0;0;0;0;0;0;21,1;65,0;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:27:28;2020-08-16 23:27:21;E10,899806;N48,374250;H500,0;7,5;5,2;4,6;4,1;21835;12317;7834;4336;1143;261;367;92;31;48;29;28;8;14;17;12;3;2;4;2;0;1;0;1;0;0;0;0;0;0;0;21,1;67,8;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:32:28;2020-08-16 23:32:22;E10,899806;N48,374250;H500,0;7,0;5,5;4,9;4,3;23029;12833;8181;4560;1146;312;333;90;42;50;41;28;12;18;20;12;3;2;3;2;0;0;1;0;0;1;0;0;0;0;0;20,9;66,8;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:37:28;2020-08-16 23:37:22;E10,899806;N48,374250;H500,0;7,1;5,2;4,8;4,4;23118;12945;8358;4648;1141;291;331;100;43;31;41;34;8;6;15;10;2;2;3;1;1;0;0;1;0;0;0;0;0;0;0;21,1;66,4;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:42:28;2020-08-16 23:42:23;E10,899806;N48,374250;H500,0;6,6;5,7;5,2;4,6;24383;14092;9035;4889;1282;306;405;102;32;49;29;26;15;20;20;12;2;2;4;0;0;1;0;0;0;0;0;0;0;0;0;21,1;65,8;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:47:28;2020-08-16 23:47:23;E10,899806;N48,374250;H500,0;7,8;6,0;5,4;4,8;25550;14669;9227;5083;1369;360;418;96;41;46;42;20;13;17;20;11;3;2;3;2;1;0;1;0;0;0;0;0;0;0;0;21,3;65,2;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:52:28;2020-08-16 23:52:23;E10,899806;N48,374250;H500,0;7,7;6,2;5,5;4,9;26081;15068;9417;5342;1392;361;376;99;44;52;41;22;12;21;18;14;3;4;2;3;0;1;0;0;1;0;0;0;0;0;0;21,3;66,2;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 01:57:28;2020-08-16 23:57:24;E10,899806;N48,374250;H500,0;10,9;6,8;5,9;5,2;27137;15754;9881;5607;1564;356;445;96;51;51;42;40;15;20;22;13;5;4;6;3;3;0;1;1;0;0;0;0;0;0;0;21,1;66,8;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 02:02:29;2020-08-17 00:02:24;E10,899806;N48,374250;H500,0;8,9;7,2;6,4;5,6;29511;17407;10789;6182;1570;390;472;115;50;60;32;39;22;22;29;17;3;2;5;2;2;0;0;0;1;0;0;0;0;0;0;21,1;67,4;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 02:07:29;2020-08-17 00:07:25;E10,899806;N48,374250;H500,0;10,0;7,5;6,7;5,9;30889;18314;11448;6684;1826;420;463;126;57;52;40;39;15;21;30;14;6;3;5;3;0;1;1;0;0;0;0;0;0;0;0;21,1;68,8;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 02:12:29;2020-08-17 00:12:25;E10,899806;N48,374250;H500,0;9,4;7,5;7,0;6,3;33244;19864;12665;7105;1879;442;468;122;62;55;45;33;14;17;24;13;3;3;3;1;1;0;0;1;0;1;0;0;0;0;0;21,1;69,3;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 02:17:29;2020-08-17 00:17:26;E10,899806;N48,374250;H500,0;9,4;7,9;7,2;6,5;34450;20540;12935;7259;1848;513;501;115;39;57;55;43;11;19;22;17;4;2;4;1;1;1;0;0;0;0;0;0;0;0;0;20,9;70,3;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 02:22:29;2020-08-17 00:22:26;E10,899806;N48,374250;H500,0;9,4;7,9;7,3;6,6;35075;20700;12913;7440;1866;400;508;125;53;53;41;32;18;19;21;13;3;5;2;2;0;0;1;0;0;0;0;0;0;0;0;20,9;71,3;NA;7H170026;SW V7-0 (2020-04-06)
2020-08-17 02:27:29;2020-08-17 00:27:27;E10,899806;N48,374250;H500,0;8,7;7,5;6,9;6,2;32814;19688;12252;6889;1760;448;502;123;57;44;40;25;11;21;25;17;5;1;3;0;1;1;0;0;0;0;0;0;0;0;0;20,9;70,5;NA;7H170026;SW V7-0 (2020-04-06)
