***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***
2020-08-17 00:00:06;SN19009;measure;10,56;9,29;8,72;39452,3;3169,1;691,9;233,0;104,0;86,0;60,9;14,3;17,9;7,2;7,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340609;23,5;32,5;38,5;2020-08-16 22:00:06;E10,931330;N48,370050;491,100;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:05:06;SN19009;measure;9,12;8,30;7,92;35522,5;2713,1;659,7;124,1;117,0;53,2;35,5;17,7;10,6;3,5;0,0;3,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,5;0,0;0,0;0,0;177340609;23,8;32,5;38,5;2020-08-16 22:05:06;E10,931295;N48,369947;487,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:10:06;SN19009;measure;9,74;7,97;7,55;33450,7;2691,7;589,1;162,3;81,1;49,4;45,9;10,6;14,1;7,1;3,5;10,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340609;23,9;32,4;38,3;2020-08-16 22:10:06;E10,931367;N48,369813;490,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:15:06;SN19009;measure;7,73;6,60;6,15;27031,3;1920,9;473,3;107,1;127,8;62,2;48,4;17,3;3,5;10,4;6,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340609;23,9;32,3;37,9;2020-08-16 22:15:06;E10,931458;N48,369918;493,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:20:06;SN19009;measure;6,53;5,69;5,33;23079,5;1611,3;388,9;132,0;83,3;62,5;31,3;6,9;6,9;3,5;6,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340609;24,0;32,3;37,1;2020-08-16 22:20:06;E10,931257;N48,369827;492,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:25:06;SN19009;measure;7,53;5,59;5,23;22456,7;1546,5;342,1;129,2;101,2;41,9;24,4;24,4;10,5;7,0;0,0;3,5;7,0;0,0;0,0;3,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340609;23,9;32,4;36,3;2020-08-16 22:25:06;E10,931363;N48,369925;495,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:30:06;SN19009;measure;7,89;6,39;5,99;25219,1;2379,4;670,3;182,5;84,2;52,6;28,1;14,0;21,1;3,5;10,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340609;24,0;32,4;35,9;2020-08-16 22:30:06;E10,931253;N48,369897;484,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:35:06;SN19009;measure;10,35;9,24;8,69;35760,7;4492,4;1515,7;397,1;193,1;61,9;29,1;21,9;7,3;0,0;3,6;0,0;3,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340609;24,0;32,4;35,8;2020-08-16 22:35:06;E10,931260;N48,369838;491,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:40:06;SN19009;measure;10,30;8,36;7,87;31938,2;4360,7;1595,0;397,8;166,7;45,5;22,7;15,2;15,2;7,6;11,4;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340609;24,1;32,4;35,3;2020-08-16 22:40:06;E10,931222;N48,369913;484,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:45:06;SN19009;measure;9,41;9,12;8,44;33770,1;4888,6;1929,4;556,3;307,8;78,9;35,5;11,8;0,0;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340609;24,1;32,5;35,0;2020-08-16 22:45:06;E10,931207;N48,369897;482,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:50:06;SN19009;measure;9,17;8,28;7,62;30931,8;4205,4;1506,2;546,3;188,8;68,3;40,2;20,1;8,0;4,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340609;23,8;32,5;35,1;2020-08-16 22:50:06;E10,931222;N48,369897;484,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:55:06;SN19009;measure;6,12;4,89;4,52;19099,6;1322,1;318,1;138,0;80,5;61,3;23,0;11,5;23,0;0,0;3,8;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340609;23,9;32,6;35,1;2020-08-16 22:55:06;E10,931252;N48,369957;478,100;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
