***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***
2020-08-17 00:00:06;SN19021;measure;2,69;2,22;2,11;13877,2;897,3;162,0;68,5;43,6;31,2;6,2;6,2;6,2;0,0;0,0;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340613;21,7;30,3;40,6;2020-08-16 22:00:06;E10,820040;N48,381295;525,400;300;SW V5-1 (2020-04-01);2019-06-11 14:16:04;original set-up
2020-08-17 00:05:06;SN19021;measure;2,36;1,99;1,84;11990,1;722,4;111,1;24,7;43,2;37,0;24,7;12,3;0,0;0,0;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340613;21,6;30,3;39,6;2020-08-16 22:05:06;E10,820028;N48,381288;525,800;300;SW V5-1 (2020-04-01);2019-06-11 14:16:04;original set-up
2020-08-17 00:10:06;SN19021;measure;2,23;1,72;1,53;9739,0;556,7;134,6;30,6;61,2;79,5;12,2;12,2;6,1;0,0;0,0;6,1;0,0;0,0;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340613;21,3;30,3;38,0;2020-08-16 22:10:06;E10,820010;N48,381308;529,400;300;SW V5-1 (2020-04-01);2019-06-11 14:16:04;original set-up
2020-08-17 00:15:06;SN19021;measure;2,26;1,65;1,53;9573,1;495,5;171,3;24,5;42,8;36,7;18,4;0,0;6,1;6,1;0,0;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340613;21,3;30,3;37,1;2020-08-16 22:15:06;E10,820005;N48,381310;530,300;300;SW V5-1 (2020-04-01);2019-06-11 14:16:04;original set-up
2020-08-17 00:20:06;SN19021;measure;1,99;1,73;1,63;10181,0;679,1;135,8;30,9;24,7;37,0;6,2;12,3;0,0;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340613;21,2;30,2;36,8;2020-08-16 22:20:06;E10,820007;N48,381302;529,000;300;SW V5-1 (2020-04-01);2019-06-11 14:16:04;original set-up
2020-08-17 00:25:06;SN19021;measure;2,24;1,71;1,55;9714,7;610,7;105,9;68,5;31,2;24,9;24,9;12,5;6,2;12,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340613;21,1;30,2;36,9;2020-08-16 22:25:06;E10,820015;N48,381302;528,600;300;SW V5-1 (2020-04-01);2019-06-11 14:16:04;original set-up
2020-08-17 00:30:06;SN19021;measure;2,07;1,83;1,69;10662,3;731,5;123,0;25,9;64,7;32,4;12,9;6,5;12,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340613;20,9;30,1;36,9;2020-08-16 22:30:06;E10,820030;N48,381325;532,200;300;SW V5-1 (2020-04-01);2019-06-11 14:16:04;original set-up
2020-08-17 00:35:06;SN19021;measure;1,82;1,68;1,63;10239,7;600,8;217,9;26,4;33,0;6,6;0,0;6,6;6,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340613;21,1;30,1;37,3;2020-08-16 22:35:06;E10,820030;N48,381318;530,000;300;SW V5-1 (2020-04-01);2019-06-11 14:16:04;original set-up
2020-08-17 00:40:06;SN19021;measure;2,03;1,57;1,50;9348,0;506,5;185,9;19,2;38,5;25,6;0,0;6,4;6,4;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340613;20,9;30,0;36,6;2020-08-16 22:40:06;E10,820033;N48,381340;533,500;300;SW V5-1 (2020-04-01);2019-06-11 14:16:04;original set-up
