***begin of header***
date&time [local time];date&time [UTC];longitude [°];lattitude [°];height [m];PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,25 µm;0,28 µm;0,30 µm;0,35 µm;0,40 µm;0,45 µm;0,50 µm;0,58 µm;0,65 µm;0,70 µm;0,80 µm;1,00 µm;1,30 µm;1,60 µm;2,00 µm;2,50 µm;3,00 µm;3,50 µm;4,00 µm;5,00 µm;6,50 µm;7,50 µm;8,50 µm;10,00 µm;12,50 µm;15,00 µm;17,50 µm;20,00 µm;25,00 µm;30,00 µm;32,00 µm;Temp. [°C]; humidity [%rH]; pressure [hPa];serial-No;software-version
***end of header***

2020-08-17 00:02:47;2020-08-16 22:02:42;E10,897270;N48,335805;H541,1;8,7;8,0;7,6;6,9;36405;21201;14087;7676;2108;470;458;111;27;59;35;37;20;22;24;14;4;1;3;0;1;0;0;0;0;0;0;0;0;0;0;21,9;69,1;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 00:07:47;2020-08-16 22:07:42;E10,897448;N48,335815;H530,8;9,6;7,9;7,2;6,3;33534;19738;13076;6918;1963;421;464;105;50;63;37;37;18;21;33;17;3;3;3;3;0;0;1;0;0;1;0;0;0;0;0;21,9;67,4;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 00:12:47;2020-08-16 22:12:42;E10,897500;N48,335825;H537,5;6,9;6,3;5,9;5,3;27991;16277;10461;5383;1596;359;346;102;36;48;47;33;22;13;24;12;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;22,1;63,5;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 00:17:47;2020-08-16 22:17:42;E10,897080;N48,336027;H516,1;6,5;5,8;5,3;4,8;25724;14744;9729;5001;1424;341;308;95;43;50;30;17;22;13;20;8;2;2;2;2;0;0;0;0;1;0;0;0;0;0;0;22,1;61,7;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 00:22:47;2020-08-16 22:22:47;E10,897493;N48,336128;H484,6;6,7;5,6;5,2;4,7;25006;14105;9251;4840;1311;304;312;96;28;50;30;28;12;8;21;10;3;1;3;1;0;1;0;0;0;0;0;0;0;0;0;22,3;61,1;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 00:27:47;2020-08-16 22:27:47;E10,897570;N48,336137;H504,0;7,3;5,4;5,0;4,4;23385;13107;8696;4539;1224;292;332;108;31;43;34;23;15;7;28;12;2;1;2;1;0;1;1;0;0;0;0;0;0;0;0;22,3;60,7;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 00:32:48;2020-08-16 22:32:43;E10,897463;N48,336073;H481,6;7,1;5,1;4,6;4,0;21265;12084;7829;4131;1140;267;298;102;33;45;22;29;14;18;19;13;3;3;2;1;0;1;0;1;0;0;0;0;0;0;0;22,3;59,4;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 00:37:48;2020-08-16 22:37:43;E10,897123;N48,336008;H487,6;5,2;4,5;4,0;3,6;19079;10670;6755;3622;995;256;273;75;29;29;27;23;10;13;17;9;3;0;3;1;1;0;0;0;0;0;0;0;0;0;0;22,1;58,8;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 00:42:48;2020-08-16 22:42:43;E10,897180;N48,336523;H438,4;5,7;4,1;3,8;3,5;18398;10114;6520;3555;995;239;269;81;38;42;22;29;10;10;16;7;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;22,1;58,8;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 00:47:48;2020-08-16 22:47:48;E10,897547;N48,336968;H471,4;5,9;4,4;3,8;3,4;17856;10133;6407;3395;1008;214;229;80;30;41;27;24;12;6;21;9;4;1;2;2;1;1;0;0;0;0;0;0;0;0;0;22,1;58,8;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 00:52:48;2020-08-16 22:52:48;E10,896855;N48,336130;H481,3;5,4;4,1;3,7;3,4;18125;10138;6606;3333;922;234;221;67;30;35;20;15;4;15;13;6;2;1;2;1;0;0;0;1;0;0;0;0;0;0;0;22,1;59,4;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 00:57:48;2020-08-16 22:57:48;E10,897037;N48,336143;H426,5;5,0;4,4;3,9;3,3;17679;9990;6423;3315;1007;238;240;58;27;36;30;22;13;11;24;11;3;1;3;2;0;0;0;0;0;0;0;0;0;0;0;22,1;59,2;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:02:48;2020-08-16 23:02:43;E10,897152;N48,335593;H471,6;5,4;4,2;3,7;3,3;17412;9511;6105;3326;935;228;231;80;39;34;33;12;10;11;15;10;2;3;2;2;0;1;0;0;0;0;0;0;0;0;0;21,9;58,6;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:07:48;2020-08-16 23:07:43;E10,897252;N48,337117;H468,0;4,5;4,0;3,8;3,3;17684;9740;6310;3249;963;206;234;82;32;33;18;25;15;15;15;8;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;22,1;59,0;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:12:48;2020-08-16 23:12:48;E10,897040;N48,335908;H467,0;4,6;4,2;3,8;3,3;17757;9792;6266;3302;937;232;257;79;27;31;23;14;14;6;23;9;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;21,9;59,6;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:17:48;2020-08-16 23:17:48;E10,896047;N48,335403;H431,3;6,8;4,6;4,1;3,4;18136;10283;6649;3520;990;238;226;78;29;26;32;27;15;16;24;17;2;2;2;2;0;1;0;1;0;0;0;0;0;0;0;21,7;60,4;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:22:48;2020-08-16 23:22:48;E10,897133;N48,335398;H487,9;5,8;4,3;3,9;3,5;18583;10210;6561;3495;1014;232;252;93;33;30;29;25;11;12;14;10;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;21,7;60,5;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:27:48;2020-08-16 23:27:48;E10,897220;N48,335482;H503,0;5,2;4,4;4,1;3,7;19661;10802;7013;3731;1102;249;292;79;22;40;26;28;12;11;12;6;3;2;2;0;1;0;0;0;1;0;0;0;0;0;0;21,9;60,9;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:32:48;2020-08-16 23:32:48;E10,897252;N48,335663;H521,8;6,0;4,9;4,4;3,9;20908;11723;7482;3958;1171;249;315;96;35;44;23;34;10;14;16;12;2;2;1;2;0;1;0;0;0;0;0;0;0;0;0;21,9;61,5;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:37:48;2020-08-16 23:37:48;E10,897322;N48,335805;H532,6;6,6;5,0;4,6;4,0;21345;12196;7748;4346;1262;282;291;75;34;33;28;30;12;19;17;12;2;2;2;0;1;0;0;1;0;0;0;1;0;0;0;21,9;61,7;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:42:49;2020-08-16 23:42:49;E10,897385;N48,336078;H501,1;6,2;5,0;4,6;4,1;21593;12036;7828;4048;1195;286;276;79;32;40;29;27;15;11;22;10;1;2;2;1;0;0;1;0;0;0;0;0;0;0;0;21,7;61,7;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:47:49;2020-08-16 23:47:49;E10,897073;N48,335558;H453,4;5,4;4,7;4,4;4,0;21451;12032;7736;3985;1166;259;294;98;35;41;33;32;13;11;15;6;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;21,5;62,1;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:52:49;2020-08-16 23:52:49;E10,897447;N48,335957;H540,0;6,3;5,2;4,7;4,2;22201;12379;7974;4247;1208;316;288;90;43;62;40;28;9;15;19;11;3;2;3;0;2;0;0;0;0;0;0;0;0;0;0;21,5;62,5;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 01:57:49;2020-08-16 23:57:49;E10,897260;N48,335930;H520,9;6,1;5,2;4,8;4,3;22726;12954;8508;4294;1256;319;308;104;39;42;44;34;13;15;18;11;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;21,5;62,9;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 02:02:49;2020-08-17 00:02:49;E10,897393;N48,335897;H502,4;7,3;5,4;4,9;4,5;23621;13383;8611;4742;1289;296;330;94;36;44;44;29;10;15;17;8;3;1;3;0;2;0;1;0;0;0;0;0;0;0;0;21,5;63,5;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 02:07:49;2020-08-17 00:07:49;E10,897223;N48,335770;H513,3;6,9;5,8;5,3;4,8;25454;14452;9229;5028;1445;321;371;77;38;47;31;21;14;14;23;7;1;3;2;2;0;1;0;0;0;0;0;0;0;0;0;21,5;64,5;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 02:12:49;2020-08-17 00:12:49;E10,897108;N48,335772;H521,6;7,0;6,2;5,7;5,1;26975;15567;10144;5441;1505;314;377;99;36;37;36;29;11;19;21;13;4;0;3;1;1;0;0;0;0;0;0;0;0;0;0;21,3;66,0;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 02:17:49;2020-08-17 00:17:49;E10,897377;N48,335860;H514,3;7,4;6,4;6,0;5,6;29703;17239;11127;6163;1681;362;392;107;49;47;38;30;10;10;17;9;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;21,3;67,6;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 02:22:49;2020-08-17 00:22:49;E10,897333;N48,335857;H531,3;8,5;6,9;6,5;5,9;30887;18158;11925;6519;1882;403;450;131;35;49;40;27;14;16;25;11;3;3;1;0;1;0;0;1;0;0;0;0;0;0;0;21,1;68,9;NA;7H180001;SW V7-0 (2020-04-06)
2020-08-17 02:27:49;2020-08-17 00:27:44;E10,897127;N48,335742;H541,7;8,7;7,2;6,7;6,1;32144;18581;12373;6740;2011;423;450;115;41;80;40;29;12;15;20;13;2;1;4;1;1;1;0;0;0;0;0;0;0;0;0;21,1;69,5;NA;7H180001;SW V7-0 (2020-04-06)
