
***begin of header***
date&time [local time];type;PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];CalPM10;CalPM4;CalPM2.5;CalPM1;T-fact;T-out [°C];T-aerosol[°C];rH [%];status;date&time [UTC];longitude;lattitude;height [m];serial-no;time-resolution;software-version;cell-no;last calibration [local time]
***end of header***

2020-08-17 00:05:00;zero_det;4,7;3,6;3,2;2,6;1,0;0,8;0,8;0,9;1,8;24,2;34,5;36,8;1,0;2020-08-16 22:04:59;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:10:00;measure;3,7;2,6;2,6;2,6;1,0;0,8;0,8;0,9;1,8;24,2;34,0;35,9;0,0;2020-08-16 22:09:59;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:15:00;measure;1,6;1,5;1,5;1,5;1,0;0,8;0,8;0,9;1,8;24,4;33,9;35,3;0,0;2020-08-16 22:15:00;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:20:00;measure;1,4;0,8;0,8;0,8;1,0;0,8;0,8;0,9;1,8;24,4;33,8;35,2;0,0;2020-08-16 22:19:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:25:00;measure;0,6;0,6;0,6;0,6;1,0;0,8;0,8;0,9;1,8;24,4;33,7;35,2;0,0;2020-08-16 22:24:55;E10,898805;N48,335540;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:30:00;measure;0,1;0,1;0,1;0,1;1,0;0,8;0,8;0,9;1,8;24,4;33,6;34,8;0,0;2020-08-16 22:29:55;E10,899103;N48,334973;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:35:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;24,3;33,5;34,5;0,0;2020-08-16 22:34:55;E10,896673;N48,335982;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:40:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;24,2;33,4;34,3;0,0;2020-08-16 22:39:55;E10,899742;N48,334783;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:45:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;24,5;33,3;34,4;0,0;2020-08-16 22:44:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:50:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;24,4;33,3;34,7;0,0;2020-08-16 22:49:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 00:55:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;24,3;33,3;34,7;0,0;2020-08-16 22:54:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:00:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;24,5;33,2;34,4;0,0;2020-08-16 22:59:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:05:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;24,4;33,2;34,7;0,0;2020-08-16 23:04:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:10:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;24,4;33,2;34,8;0,0;2020-08-16 23:09:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:15:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;23,8;33,2;34,8;0,0;2020-08-16 23:14:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:20:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;23,9;33,1;35,0;0,0;2020-08-16 23:19:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:25:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;24,2;33,1;35,4;0,0;2020-08-16 23:24:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:30:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;24,2;33,1;35,8;0,0;2020-08-16 23:29:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:35:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;23,9;33,1;35,7;0,0;2020-08-16 23:34:55;E10,896970;N48,335788;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:40:00;measure;0,7;0,7;0,7;0,7;1,0;0,8;0,8;0,9;1,8;23,9;34,0;34,4;0,0;2020-08-16 23:39:55;E10,897392;N48,335970;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:45:00;measure;2,5;2,0;2,0;2,0;1,0;0,8;0,8;0,9;1,8;23,7;33,5;34,8;0,0;2020-08-16 23:44:55;E10,897207;N48,335767;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:50:00;measure;1,7;1,4;1,3;1,3;1,0;0,8;0,8;0,9;1,8;23,8;33,4;35,2;0,0;2020-08-16 23:49:55;E10,897652;N48,336225;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 01:55:00;measure;1,1;1,1;1,1;1,0;1,0;0,8;0,8;0,9;1,8;23,9;33,3;35,4;0,0;2020-08-16 23:54:55;E10,896272;N48,335462;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:00:00;measure;1,3;1,3;1,3;1,3;1,0;0,8;0,8;0,9;1,8;23,8;33,2;35,8;0,0;2020-08-16 23:59:55;E10,897535;N48,336492;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:05:00;measure;1,0;1,0;1,0;1,0;1,0;0,8;0,8;0,9;1,8;23,8;33,2;36,2;0,0;2020-08-17 00:04:55;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:10:00;measure;0,9;0,9;0,9;0,9;1,0;0,8;0,8;0,9;1,8;23,8;33,1;36,9;0,0;2020-08-17 00:09:55;E10,897520;N48,336213;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:15:00;measure;0,8;0,7;0,7;0,7;1,0;0,8;0,8;0,9;1,8;23,4;33,0;37,6;0,0;2020-08-17 00:14:56;E10,897588;N48,336613;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:20:00;measure;1,6;1,1;1,1;1,1;1,0;0,8;0,8;0,9;1,8;23,4;32,9;38,0;0,0;2020-08-17 00:19:56;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:25:00;measure;0,9;0,9;0,9;0,7;1,0;0,8;0,8;0,9;1,8;23,3;32,8;38,5;0,0;2020-08-17 00:24:56;E10,451532;N48,051630;H511,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:30:00;measure;1,3;1,3;1,3;1,3;1,0;0,8;0,8;0,9;1,8;23,3;32,7;38,7;0,0;2020-08-17 00:29:56;E10,897783;N48,336882;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:35:00;measure;0,8;0,8;0,8;0,8;1,0;0,8;0,8;0,9;1,8;23,4;32,7;38,9;0,0;2020-08-17 00:34:56;E10,897160;N48,336142;H483,7;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:40:00;measure;0,7;0,7;0,7;0,7;1,0;0,8;0,8;0,9;1,8;22,7;32,6;39,5;0,0;2020-08-17 00:39:56;E10,897503;N48,335957;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:45:00;measure;0,2;0,2;0,2;0,1;1,0;0,8;0,8;0,9;1,8;22,5;32,4;39,1;0,0;2020-08-17 00:44:56;E10,897608;N48,336353;H511,8;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:50:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;22,5;32,3;39,5;0,0;2020-08-17 00:49:56;E10,897583;N48,336132;H497,3;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 02:55:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;22,2;32,1;39,6;0,0;2020-08-17 00:54:56;E10,897405;N48,336243;H524,1;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 03:00:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;22,2;32,0;40,0;0,0;2020-08-17 00:59:56;E10,897307;N48,336147;H537,3;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
2020-08-17 03:05:00;measure;0,0;0,0;0,0;0,0;1,0;0,8;0,8;0,9;1,8;21,5;31,8;40,4;0,0;2020-08-17 01:04:56;E10,896553;N48,335358;H522,0;SN17018;300;SW V8-8 (2020-05-06);1;2020-08-11 23:31
